Name,Drive Type,Mileage (mpg),Fuel Type,Capacity (gal),Length (inches),Wheel Base (inches),Width (inches),Turning Circle (feet),Weight (lbs),Door Top (inches),Luggage (cu. ft.),Front Shoulder (inches),Front Leg Room (inches),Front Head Room (inches),Rear Shoulder (inches),Rear Leg Room (inches),Rear Head Room (inches)
Acura Integra,Front,31,Regular,13.2,172,101,67,39,"2,635",47.5,13.0,51.5,41.5,2.0,46.5,25.0,0.5
Acura TL,Front,22,Premium,17.1,193,108,70,40,"3,460",50.0,14.0,56.0,40.5,2.5,55.0,27.0,2.0
Buick Century,Front,22,Regular,17.5,195,109,73,40,"3,350",50.5,17.0,58.0,44.0,5.0,57.0,30.0,2.0
Buick LeSabre,Front,20,Regular,17.5,200,112,74,42,"3,640",51.0,18.0,59.5,40.5,5.0,58.0,27.5,4.5
Buick Park Avenue,Front,21,Regular,18.5,207,114,75,43,"3,880",51.0,19.0,59.5,42.5,6.0,58.5,31.5,3.0
Buick Regal,Front,21,Regular,17.5,196,109,73,40,"3,325",50.5,17.0,58.0,43.0,5.0,56.5,29.0,2.5
Chevrolet Cavalier,Front,26,Regular,15.2,181,104,68,38,"2,795",50.5,14.0,54.5,41.5,4.5,53.5,28.0,2.0
Chevrolet Impala,Front,20,Regular,17.0,200,111,73,40,"3,495",51.5,18.0,58.5,42.0,5.0,58.5,29.0,2.5
Chevrolet Lumina,Front,22,Regular,16.6,201,108,73,44,"3,350",51.0,16.0,58.5,42.5,4.5,57.0,30.0,2.0
Chevrolet Malibu,Front,24,Regular,15.2,190,107,69,40,"3,075",50.5,17.0,55.0,43.0,4.5,54.0,30.5,2.0
Chevrolet Prizm,Front,31,Regular,13.2,175,97,67,34,"2,480",48.0,12.0,52.5,40.5,4.0,52.0,26.5,2.0
Chevrolet Venture,Front,19,Regular,25.0,201,120,72,42,"3,890",62.0,76.0,60.0,41.0,6.0,61.5,30.0,5.5
Chrysler 300M,Front,21,Regular,17.0,198,113,74,40,"3,620",49.5,17.0,59.0,40.0,3.0,57.5,30.0,2.5
Chrysler Cirrus,Front,22,Regular,16.0,186,108,72,39,"3,170",49.0,16.0,55.0,42.0,4.0,54.5,31.0,1.5
Chrysler Concorde,Front,21,Regular,17.0,209,113,74,41,"3,535",49.0,19.0,58.5,42.0,4.0,57.0,34.0,2.0
Chrysler Sebring Convertible,Front,21,Regular,16.0,193,106,70,42,"3,445",48.5,11.0,54.5,41.5,5.0,43.5,27.0,2.0
Chrysler Town & Country,Front,18,Regular,20.0,200,119,77,41,"4,050",60.5,76.0,62.5,41.0,5.5,64.0,29.5,5.0
Daewoo Lenganza,Front,24,Regular,15.8,184,105,70,41,"3,185",50.0,14.0,55.5,42.5,2.5,52.5,30.0,3.5
Daewoo Nubira,Front,24,Regular,13.7,175,101,67,37,"2,815",50.0,13.0,53.5,41.0,4.5,52.5,27.5,3.0
Dodge Intrepid,Front,22,Regular,17.0,204,113,75,40,"3,455",49.0,18.0,58.5,43.0,4.5,57.0,32.5,2.5
Dodge Stratus,Front,22,Regular,16.0,186,108,72,39,"3,170",49.0,16.0,55.0,42.0,4.0,54.5,31.0,1.5
Ford Contour,Front,22,Regular,14.5,185,107,69,40,"3,115",50.5,14.0,53.5,41.5,4.5,53.0,28.0,1.0
Ford Escort,Front,28,Regular,12.7,175,98,66,36,"2,585",49.0,13.0,51.5,40.5,4.0,52.0,27.5,1.5
Ford Taurus,Front,21,Regular,16.0,198,109,73,42,"3,340",50.5,17.0,58.0,41.0,6.0,57.0,29.5,3.0
Ford Windstar,Front,18,Regular,26.0,201,121,77,42,"4,150",61.5,67.5,61.0,40.0,4.5,63.0,30.0,6.0
Honda Accord,Front,25,Regular,17.1,189,107,70,40,"3,105",50.5,14.0,56.5,40.5,2.0,54.5,30.0,2.5
Honda CR-V,Front,24,Regular,15.3,178,103,69,38,"3,155",59.0,31.0,56.0,39.5,6.0,55.0,27.0,4.5
Honda Odyssey,Front,19,Regular,20.0,201,118,76,41,"4,245",62.0,67.0,63.0,40.0,6.5,64.5,29.0,5.0
Hyundai Tiburon,Front,27,Regular,14.5,171,97,68,37,"2,705",46.5,13.0,53.0,41.5,1.5,46.0,25.0,0.0
Infiniti G20,Front,25,Regular,15.9,178,102,67,41,"3,005",50.5,14.0,53.5,41.0,3.0,53.5,26.5,2.0
Infiniti I30,Front,22,Premium,18.5,194,108,70,40,"3,410",51.0,14.0,56.0,40.0,3.0,56.0,29.0,2.0
Infiniti QX4,Front,16,Regular,21.1,184,106,72,42,"4,355",60.0,34.5,56.5,40.0,2.5,56.5,28.0,3.0
Jeep Wrangler,Front,15,Regular,19.0,152,93,67,36,"3,510",64.5,17.0,51.5,41.0,6.5,57.0,25.0,4.5
Kia Sephia,Front,26,Regular,13.2,174,101,67,37,"2,650",50.0,10.0,55.0,41.5,5.0,54.0,29.0,2.5
Land Rover Discovery,Front,14,Premium,24.1,185,100,74,47,"4,735",65.0,46.5,58.0,39.0,5.5,57.0,27.0,5.0
Lexus ES300,Front,22,Premium,18.5,190,105,71,40,"3,390",50.0,13.0,55.0,41.0,2.0,53.5,27.5,1.5
Lexus RX300,Front,19,Regular,17.2,180,103,72,43,"4,055",59.5,37.5,58.0,42.0,3.0,57.5,31.5,4.5
Mazda 626,Front,24,Regular,16.9,187,105,69,39,"2,910",49.5,14.0,56.0,41.5,3.5,56.0,30.5,2.5
Mazda MPV,Front,18,Regular,18.5,187,112,72,41,"3,720",60.5,57.0,60.0,39.5,7.0,61.0,26.5,4.5
Mazda Protégé,Front,27,Regular,13.2,174,103,67,38,"2,645",50.0,13.0,54.0,41.0,2.5,52.5,27.5,2.0
Mercedes-Benz M-Class,Front,19,Premium,19.0,181,111,72,35,"4,405",64.5,45.5,58.5,41.0,3.5,57.5,29.5,4.5
Mercury Cougar,Front,24,Regular,15.0,185,106,70,39,"3,140",47.5,12.0,53.5,40.5,1.5,48.0,26.5,0.5
