"","Y","FP001","FP002","FP003","FP004","FP005","FP006","FP007","FP008","FP009","FP010","FP011","FP012","FP013","FP014","FP015","FP016","FP017","FP018","FP019","FP020","FP021","FP022","FP023","FP024","FP025","FP026","FP027","FP028","FP029","FP030","FP031","FP032","FP033","FP034","FP035","FP036","FP037","FP038","FP039","FP040","FP041","FP042","FP043","FP044","FP045","FP046","FP047","FP048","FP049","FP050","FP051","FP052","FP053","FP054","FP055","FP056","FP057","FP058","FP059","FP060","FP061","FP062","FP063","FP064","FP065","FP066","FP067","FP068","FP069","FP070","FP071","FP072","FP073","FP074","FP075","FP076","FP077","FP078","FP079","FP080","FP081","FP082","FP083","FP084","FP085","FP086","FP087","FP088","FP089","FP090","FP091","FP092","FP093","FP094","FP095","FP096","FP097","FP098","FP099","FP100","FP101","FP102","FP103","FP104","FP105","FP106","FP107","FP108","FP109","FP110","FP111","FP112","FP113","FP114","FP115","FP116","FP117","FP118","FP119","FP120","FP121","FP122","FP123","FP124","FP125","FP126","FP127","FP128","FP129","FP130","FP131","FP132","FP133","FP134","FP135","FP136","FP137","FP138","FP139","FP140","FP141","FP142","FP143","FP144","FP145","FP146","FP147","FP148","FP149","FP150","FP151","FP152","FP153","FP154","FP155","FP156","FP157","FP158","FP159","FP160","FP161","FP162","FP163","FP164","FP165","FP166","FP167","FP168","FP169","FP170","FP171","FP172","FP173","FP174","FP175","FP176","FP177","FP178","FP179","FP180","FP181","FP182","FP183","FP184","FP185","FP186","FP187","FP188","FP189","FP190","FP191","FP192","FP193","FP194","FP195","FP196","FP197","FP198","FP199","FP200","FP201","FP202","FP203","FP204","FP205","FP206","FP207","FP208","MolWeight","NumAtoms","NumNonHAtoms","NumBonds","NumNonHBonds","NumMultBonds","NumRotBonds","NumDblBonds","NumAromaticBonds","NumHydrogen","NumCarbon","NumNitrogen","NumOxygen","NumSulfer","NumChlorine","NumHalogen","NumRings","HydrophilicFactor","SurfaceArea1","SurfaceArea2"
"1",0.93,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.55912624748668,2.19722457733622,1.79175946922805,2.07944154167984,1.89864830730607,0.798769776932236,0,0.567076741022588,0,1.71905522170133,1.30129723438636,0,1.09861228866811,0,0.375,0.375,0,0.416562628030866,8.24532407681979,8.24532407681979
"2",0.85,1,0,1,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4.50103114624695,2.63905732961526,1.94591014905531,2.56494935746154,2.15484540552628,0.798769776932236,1.09861228866811,0.567076741022588,0,2.88688661024538,1.71905522170133,0.456826001401448,1.09861228866811,0,0,0,0,0.915006294118165,9.76580525174419,9.76580525174419
"3",0.81,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.71061069844609,2.70805020110221,2.19722457733622,2.70805020110221,2.7592278695768,2.94476606120695,0,0,1.94591014905531,2.64263320840332,2.64263320840332,0,1.09861228866811,0,0,0,0.693147180559945,0.652184681144778,8.59153688454575,8.59153688454575
"4",0.74,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61699993774167,2.99573227355399,2.07944154167984,2.99573227355399,2.57858283255199,0,0,0,0,3.86217948140527,2.37256619803235,0.584814591455163,0,0,0,0,0.693147180559945,0.734272639519969,6.56843689784204,6.56843689784204
"5",0.61,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.81332191948306,2.77258872223978,2.30258509299405,2.77258872223978,2.92446596230557,3.24349177498518,0.693147180559945,0.567076741022588,1.94591014905531,2.64263320840332,2.64263320840332,0.584814591455163,0.693147180559945,0,0,0,0.693147180559945,0.650346372641812,10.0958936935249,10.0958936935249
"6",0.58,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.11185698730673,2.19722457733622,1.6094379124341,2.07944154167984,1.59753955386447,0.798769776932236,0.693147180559945,0.567076741022588,0,2.06885532230921,1.30129723438636,0,1.09861228866811,0,0,0,0,-0.533241653281111,6.88436881157883,6.88436881157883
"7",0.57,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.04427858454862,2.19722457733622,1.6094379124341,2.07944154167984,1.59753955386447,1.3796139347884,0.693147180559945,0.804530236713689,0,2.06885532230921,1.71905522170133,0,0.693147180559945,0,0,0,0,-0.937712497282432,5.4565220319586,5.4565220319586
"8",0.56,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29210192714589,2.63905732961526,1.79175946922805,2.63905732961526,2.15484540552628,0,0,0,0,3.11060681643921,2.06885532230921,0,0.693147180559945,0,0,0,0.693147180559945,-1.12107601971635,3.8370956483466,3.8370956483466
"9",0.52,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29210192714589,2.63905732961526,1.79175946922805,2.56494935746154,1.89864830730607,0.798769776932236,0.693147180559945,0.567076741022588,0,3.11060681643921,2.06885532230921,0,0.693147180559945,0,0,0,0,-1.12107601971635,5.4565220319586,5.4565220319586
"10",0.45,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.6837040636422,2.89037175789616,2.19722457733622,2.89037175789616,2.7592278695768,2.94476606120695,0,0,1.94591014905531,3.31754104989627,2.88688661024538,0.456826001401448,0,0,0,0,0.693147180559945,-1.48378280231583,4.66177886237167,4.66177886237167
